condition,record_id,gold_family,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:test:519,boxplot,101,303,1.0,0.2,0.2,0.321445
direct,nvbench2:test:519,boxplot,202,303,1.0,0.42857142857142855,0.42857142857142855,0.719335
direct,nvbench2:test:524,bar+line+rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:524,bar+line+rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:524,bar+line+rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:526,arc,101,202,0.0,0.0,1.0,0.0
direct,nvbench2:test:526,arc,101,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:526,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:531,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:531,line,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:531,line,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:532,arc+bar+line,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:532,arc+bar+line,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:532,arc+bar+line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:535,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:535,line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:535,line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:545,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:545,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:545,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:546,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:546,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:546,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:547,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:547,rect,101,303,1.0,0.3333333333333333,0.3333333333333333,0.415
direct,nvbench2:test:547,rect,202,303,1.0,0.3333333333333333,0.3333333333333333,0.415
direct,nvbench2:test:551,line,101,202,0.0,0.1111111111111111,0.1111111111111111,0.13122
direct,nvbench2:test:551,line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:551,line,202,303,0.0,0.1111111111111111,0.1111111111111111,0.13122
direct,nvbench2:test:552,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:552,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:552,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:553,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:553,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:553,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:554,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:554,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:554,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:556,rect,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:556,rect,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:556,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:558,arc,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:558,arc,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:558,arc,202,303,0.0,0.1111111111111111,1.0,0.13122
direct,nvbench2:test:561,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:561,line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:561,line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:566,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:566,boxplot,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:566,boxplot,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:574,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:574,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:574,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:577,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:577,line,101,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:577,line,202,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:578,arc,101,202,1.0,1.0,1.0,1.0
