record_id,model,condition,gold_family,gold_count,candidate_count,exact_recall@5,core_recall@5,component_identical_recall@5,matched_recall@5_tau80,matched_recall@5_tau90,exact_recovered,core_recovered,component_identical_recovered,matched_recovered_tau80,matched_recovered_tau90,elapsed_seconds,prompt_tokens,generated_tokens,total_tokens
nvbench2:dev:603,gemma3:27b,direct,rect,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.357749875000081,347,53,400
nvbench2:dev:605,gemma3:27b,direct,line,4,2,0.0,0.0,0.0,0.25,0.0,0,0,0,1,0,5.136217791999911,346,70,416
nvbench2:dev:606,gemma3:27b,direct,bar,2,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.2887901249999913,345,27,372
nvbench2:dev:612,gemma3:27b,direct,arc,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,1,1,5.368648416999918,427,71,498
nvbench2:dev:614,gemma3:27b,direct,bar,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.51639924999995,430,131,561
nvbench2:dev:628,gemma3:27b,direct,rect,2,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20.033367,513,358,871
nvbench2:dev:641,gemma3:27b,direct,rect,2,2,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,6.079035750000003,287,94,381
nvbench2:dev:642,gemma3:27b,direct,line,5,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.500748415999965,299,80,379
nvbench2:dev:644,gemma3:27b,direct,bar+line,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.162737083000025,420,124,544
nvbench2:dev:647,gemma3:27b,direct,bar,2,2,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,5.97731562499996,420,79,499
nvbench2:dev:651,gemma3:27b,direct,bar,5,4,0.0,0.0,0.0,0.4,0.2,0,0,0,2,1,8.154131499999949,417,123,540
nvbench2:dev:655,gemma3:27b,direct,line,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9.694831582999996,458,151,609
